bioguide_id,name,party,state,district,chamber,role,phone,website,leadership_role
C001127,Sheila Cherfilus-McCormick,Democratic,FL,20,house,U.S. Representative,202-225-1313,https://cherfilus-mccormick.house.gov,
F000474,Mike Flood,Republican,NE,1,house,U.S. Representative,202-225-4806,https://flood.house.gov,
F000475,Brad Finstad,Republican,MN,1,house,U.S. Representative,202-225-2472,https://finstad.house.gov,
R000579,Patrick Ryan,Democratic,NY,18,house,U.S. Representative,202-225-5614,https://patryan.house.gov,
Y000067,Rudy Yakym III,Republican,IN,2,house,U.S. Representative,202-225-3915,https://yakym.house.gov,
Z000018,Ryan K. Zinke,Republican,MT,1,house,U.S. Representative,202-225-5628,https://zinke.house.gov,
S001220,Dale W. Strong,Republican,AL,5,house,U.S. Representative,202-225-4801,https://strong.house.gov,
M001224,Nathaniel Moran,Republican,TX,1,house,U.S. Representative,202-225-3035,https://moran.house.gov,
B001261,John Barrasso,Republican,WY,,senate,U.S. Senator,202-224-6441,https://www.barrasso.senate.gov,senate_majority_whip
S000033,Bernard Sanders,Independent,VT,,senate,U.S. Senator,202-224-5141,https://www.sanders.senate.gov,
W000802,Sheldon Whitehouse,Democratic,RI,,senate,U.S. Senator,202-224-2921,https://www.whitehouse.senate.gov,
G000602,Laura Gillen,Democratic,NY,4,house,U.S. Representative,202-225-5516,https://gillen.house.gov,
L000606,George Latimer,Democratic,NY,16,house,U.S. Representative,202-225-2464,https://latimer.house.gov,
R000622,Josh Riley,Democratic,NY,19,house,U.S. Representative,202-225-5441,https://riley.house.gov,
T000250,John Thune,Republican,SD,,senate,U.S. Senator,202-224-2321,https://www.thune.senate.gov,senate_majority_leader
W000437,Roger F. Wicker,Republican,MS,,senate,U.S. Senator,202-224-6253,https://www.wicker.senate.gov,
C001035,Susan M. Collins,Republican,ME,,senate,U.S. Senator,202-224-2523,https://www.collins.senate.gov,
C001056,John Cornyn,Republican,TX,,senate,U.S. Senator,202-224-2934,https://www.cornyn.senate.gov,
M000355,Mitch McConnell,Republican,KY,,senate,U.S. Senator,202-224-2541,https://www.mcconnell.senate.gov,
M001176,Jeff Merkley,Democratic,OR,,senate,U.S. Senator,202-224-3753,https://www.merkley.senate.gov,
R000122,Jack Reed,Democratic,RI,,senate,U.S. Senator,202-224-4642,https://www.reed.senate.gov,
R000584,James E. Risch,Republican,ID,,senate,U.S. Senator,202-224-2752,https://www.risch.senate.gov,
B001299,Jim Banks,Republican,IN,,senate,U.S. Senator,202-224-4814,https://www.banks.senate.gov,
S001181,Jeanne Shaheen,Democratic,NH,,senate,U.S. Senator,202-224-2841,https://www.shaheen.senate.gov,
M000133,Edward J. Markey,Democratic,MA,,senate,U.S. Senator,202-224-2742,https://www.markey.senate.gov,
C001095,Tom Cotton,Republican,AR,,senate,U.S. Senator,202-224-2353,https://www.cotton.senate.gov,
B001257,Gus M. Bilirakis,Republican,FL,12,house,U.S. Representative,202-225-5755,https://bilirakis.house.gov,
B000490,"Sanford D. Bishop, Jr.",Democratic,GA,2,house,U.S. Representative,202-225-3631,https://bishop.house.gov,
B001260,Vern Buchanan,Republican,FL,16,house,U.S. Representative,202-225-5015,https://buchanan.house.gov,
C000059,Ken Calvert,Republican,CA,41,house,U.S. Representative,202-225-1986,https://calvert.house.gov,
C001072,André Carson,Democratic,IN,7,house,U.S. Representative,202-225-4011,https://carson.house.gov,
C001051,John R. Carter,Republican,TX,31,house,U.S. Representative,202-225-3864,https://carter.house.gov,
C001066,Kathy Castor,Democratic,FL,14,house,U.S. Representative,202-225-3376,https://castor.house.gov,
C001080,Judy Chu,Democratic,CA,28,house,U.S. Representative,202-225-5464,https://chu.house.gov,
G000359,Lindsey Graham,Republican,SC,,senate,U.S. Senator,202-224-5972,https://www.lgraham.senate.gov/public,
C001067,Yvette D. Clarke,Democratic,NY,9,house,U.S. Representative,202-225-6231,https://clarke.house.gov,
C001061,Emanuel Cleaver,Democratic,MO,5,house,U.S. Representative,202-225-4535,https://cleaver.house.gov,
C000537,James E. Clyburn,Democratic,SC,6,house,U.S. Representative,202-225-3315,https://clyburn.house.gov,
C001068,Steve Cohen,Democratic,TN,9,house,U.S. Representative,202-225-3265,https://cohen.house.gov,
C001053,Tom Cole,Republican,OK,4,house,U.S. Representative,202-225-6165,https://cole.house.gov,
C001059,Jim Costa,Democratic,CA,21,house,U.S. Representative,202-225-3341,https://costa.house.gov,
C001069,Joe Courtney,Democratic,CT,2,house,U.S. Representative,202-225-2076,https://courtney.house.gov,
C001087,"Eric A. ""Rick"" Crawford",Republican,AR,1,house,U.S. Representative,202-225-4076,https://crawford.house.gov,
C001063,Henry Cuellar,Democratic,TX,28,house,U.S. Representative,202-225-1640,https://cuellar.house.gov,
D000096,Danny K. Davis,Democratic,IL,7,house,U.S. Representative,202-225-5006,https://davis.house.gov,
D000197,Diana DeGette,Democratic,CO,1,house,U.S. Representative,202-225-4431,https://degette.house.gov,
D000216,Rosa L. DeLauro,Democratic,CT,3,house,U.S. Representative,202-225-3661,https://delauro.house.gov,
G000555,Kirsten E. Gillibrand,Democratic,NY,,senate,U.S. Senator,202-224-4451,https://www.gillibrand.senate.gov,
C001088,Christopher A. Coons,Democratic,DE,,senate,U.S. Senator,202-224-5042,https://www.coons.senate.gov,
B001230,Tammy Baldwin,Democratic,WI,,senate,U.S. Senator,202-224-5653,https://www.baldwin.senate.gov,
B001267,Michael F. Bennet,Democratic,CO,,senate,U.S. Senator,202-224-5852,https://www.bennet.senate.gov,
B001243,Marsha Blackburn,Republican,TN,,senate,U.S. Senator,202-224-3344,https://www.blackburn.senate.gov,
B001277,Richard Blumenthal,Democratic,CT,,senate,U.S. Senator,202-224-2823,https://www.blumenthal.senate.gov,
B001236,John Boozman,Republican,AR,,senate,U.S. Senator,202-224-4843,https://www.boozman.senate.gov/public,
C001047,Shelley Moore Capito,Republican,WV,,senate,U.S. Senator,202-224-6472,https://www.capito.senate.gov,
C001075,Bill Cassidy,Republican,LA,,senate,U.S. Senator,202-224-5824,https://www.cassidy.senate.gov,
C000880,Mike Crapo,Republican,ID,,senate,U.S. Senator,202-224-6142,https://www.crapo.senate.gov,
D000600,Mario Diaz-Balart,Republican,FL,26,house,U.S. Representative,202-225-4211,https://mariodiazbalart.house.gov,
D000399,Lloyd Doggett,Democratic,TX,37,house,U.S. Representative,202-225-4865,https://doggett.house.gov,
F000459,"Charles J. ""Chuck"" Fleischmann",Republican,TN,3,house,U.S. Representative,202-225-3271,https://fleischmann.house.gov,
F000450,Virginia Foxx,Republican,NC,5,house,U.S. Representative,202-225-2071,https://foxx.house.gov,
G000559,John Garamendi,Democratic,CA,8,house,U.S. Representative,202-225-1880,https://garamendi.house.gov,
G000565,Paul A. Gosar,Republican,AZ,9,house,U.S. Representative,202-225-2315,https://gosar.house.gov,
G000546,Sam Graves,Republican,MO,6,house,U.S. Representative,202-225-7041,https://graves.house.gov,
G000553,Al Green,Democratic,TX,9,house,U.S. Representative,202-225-7508,https://algreen.house.gov,
G000568,H. Morgan Griffith,Republican,VA,9,house,U.S. Representative,202-225-3861,https://morgangriffith.house.gov,
G000558,Brett Guthrie,Republican,KY,2,house,U.S. Representative,202-225-3501,https://guthrie.house.gov,
H001052,Andy Harris,Republican,MD,1,house,U.S. Representative,202-225-5311,https://harris.house.gov,
H001047,James A. Himes,Democratic,CT,4,house,U.S. Representative,202-225-5541,https://himes.house.gov,
H000874,Steny H. Hoyer,Democratic,MD,5,house,U.S. Representative,202-225-4131,https://hoyer.house.gov,
H001058,Bill Huizenga,Republican,MI,4,house,U.S. Representative,202-225-4401,https://huizenga.house.gov,
J000288,"Henry C. ""Hank"" Johnson, Jr.",Democratic,GA,4,house,U.S. Representative,202-225-1605,https://hankjohnson.house.gov,
J000289,Jim Jordan,Republican,OH,4,house,U.S. Representative,202-225-2676,https://jordan.house.gov,
K000009,Marcy Kaptur,Democratic,OH,9,house,U.S. Representative,202-225-4146,https://kaptur.house.gov,
K000375,William R. Keating,Democratic,MA,9,house,U.S. Representative,202-225-3111,https://keating.house.gov,
K000376,Mike Kelly,Republican,PA,16,house,U.S. Representative,202-225-5406,https://kelly.house.gov,
L000560,Rick Larsen,Democratic,WA,2,house,U.S. Representative,202-225-2605,https://larsen.house.gov,
L000557,John B. Larson,Democratic,CT,1,house,U.S. Representative,202-225-2265,https://larson.house.gov,
L000566,Robert E. Latta,Republican,OH,5,house,U.S. Representative,202-225-6405,https://latta.house.gov,
L000397,Zoe Lofgren,Democratic,CA,18,house,U.S. Representative,202-225-3072,https://lofgren.house.gov,
L000491,Frank D. Lucas,Republican,OK,3,house,U.S. Representative,202-225-5565,https://lucas.house.gov,
H001046,Martin Heinrich,Democratic,NM,,senate,U.S. Senator,202-224-5521,https://www.heinrich.senate.gov,
H001042,Mazie K. Hirono,Democratic,HI,,senate,U.S. Senator,202-224-6361,https://www.hirono.senate.gov,
H001061,John Hoeven,Republican,ND,,senate,U.S. Senator,202-224-2551,https://www.hoeven.senate.gov,
J000293,Ron Johnson,Republican,WI,,senate,U.S. Senator,202-224-5323,https://www.ronjohnson.senate.gov,
L000575,James Lankford,Republican,OK,,senate,U.S. Senator,202-224-5754,https://www.lankford.senate.gov,
L000577,Mike Lee,Republican,UT,,senate,U.S. Senator,202-224-5444,https://www.lee.senate.gov,
L000570,Ben Ray Luján,Democratic,NM,,senate,U.S. Senator,202-224-6621,https://www.lujan.senate.gov,
M001163,Doris O. Matsui,Democratic,CA,7,house,U.S. Representative,202-225-7163,https://matsui.house.gov,
M001157,Michael T. McCaul,Republican,TX,10,house,U.S. Representative,202-225-2401,https://mccaul.house.gov,
M001177,Tom McClintock,Republican,CA,5,house,U.S. Representative,202-225-2511,https://mcclintock.house.gov,
M001143,Betty McCollum,Democratic,MN,4,house,U.S. Representative,202-225-6631,https://mccollum.house.gov,
M000312,James P. McGovern,Democratic,MA,2,house,U.S. Representative,202-225-6101,https://mcgovern.house.gov,
M001137,Gregory W. Meeks,Democratic,NY,5,house,U.S. Representative,202-225-3461,https://meeks.house.gov,
M001160,Gwen Moore,Democratic,WI,4,house,U.S. Representative,202-225-4572,https://gwenmoore.house.gov,
N000002,Jerrold Nadler,Democratic,NY,12,house,U.S. Representative,202-225-5635,https://nadler.house.gov,
N000015,Richard E. Neal,Democratic,MA,1,house,U.S. Representative,202-225-5601,https://neal.house.gov,
N000147,Eleanor Holmes Norton,Democratic,DC,0,house,U.S. Representative,202-225-8050,https://norton.house.gov,
P000034,"Frank Pallone, Jr.",Democratic,NJ,6,house,U.S. Representative,202-225-4671,https://pallone.house.gov,
P000197,Nancy Pelosi,Democratic,CA,11,house,U.S. Representative,202-225-4965,https://pelosi.house.gov,
P000597,Chellie Pingree,Democratic,ME,1,house,U.S. Representative,202-225-6116,https://pingree.house.gov,
Q000023,Mike Quigley,Democratic,IL,5,house,U.S. Representative,202-225-4061,https://quigley.house.gov,
R000395,Harold Rogers,Republican,KY,5,house,U.S. Representative,202-225-4601,https://halrogers.house.gov,
R000575,Mike Rogers,Republican,AL,3,house,U.S. Representative,202-225-3261,https://mikerogers.house.gov,
S001145,Janice D. Schakowsky,Democratic,IL,9,house,U.S. Representative,202-225-2111,https://schakowsky.house.gov,
S001183,David Schweikert,Republican,AZ,1,house,U.S. Representative,202-225-2190,https://schweikert.house.gov,
S001189,Austin Scott,Republican,GA,8,house,U.S. Representative,202-225-6531,https://austinscott.house.gov,
S001157,David Scott,Democratic,GA,13,house,U.S. Representative,202-225-2939,https://davidscott.house.gov,
S000185,"Robert C. ""Bobby"" Scott",Democratic,VA,3,house,U.S. Representative,202-225-8351,https://bobbyscott.house.gov,
M000934,Jerry Moran,Republican,KS,,senate,U.S. Senator,202-224-6521,https://www.moran.senate.gov,
M001153,Lisa Murkowski,Republican,AK,,senate,U.S. Senator,202-224-6665,https://www.murkowski.senate.gov,
M001169,Christopher Murphy,Democratic,CT,,senate,U.S. Senator,202-224-4041,https://www.murphy.senate.gov,
M001111,Patty Murray,Democratic,WA,,senate,U.S. Senator,202-224-2621,https://www.murray.senate.gov,
P000603,Rand Paul,Republican,KY,,senate,U.S. Senator,202-224-4343,https://www.paul.senate.gov,
P000595,Gary C. Peters,Democratic,MI,,senate,U.S. Senator,202-224-6221,https://www.peters.senate.gov,
S001150,Adam B. Schiff,Democratic,CA,,senate,U.S. Senator,202-224-3841,https://www.schiff.senate.gov,
S001184,Tim Scott,Republican,SC,,senate,U.S. Senator,202-224-6121,https://www.scott.senate.gov,
S000344,Brad Sherman,Democratic,CA,32,house,U.S. Representative,202-225-5911,https://sherman.house.gov,
S001148,Michael K. Simpson,Republican,ID,2,house,U.S. Representative,202-225-5531,https://simpson.house.gov,
S000148,Charles E. Schumer,Democratic,NY,,senate,U.S. Senator,202-224-6542,https://www.schumer.senate.gov,senate_minority_leader
S000510,Adam Smith,Democratic,WA,9,house,U.S. Representative,202-225-8901,https://adamsmith.house.gov,
S001172,Adrian Smith,Republican,NE,3,house,U.S. Representative,202-225-6435,https://adriansmith.house.gov,
S000522,Christopher H. Smith,Republican,NJ,4,house,U.S. Representative,202-225-3765,https://chrissmith.house.gov,
S001156,Linda T. Sánchez,Democratic,CA,38,house,U.S. Representative,202-225-6676,https://lindasanchez.house.gov,
T000193,Bennie G. Thompson,Democratic,MS,2,house,U.S. Representative,202-225-5876,https://benniethompson.house.gov,
T000460,Mike Thompson,Democratic,CA,4,house,U.S. Representative,202-225-3311,https://mikethompson.house.gov,
T000467,Glenn Thompson,Republican,PA,15,house,U.S. Representative,202-225-5121,https://thompson.house.gov,
T000469,Paul Tonko,Democratic,NY,20,house,U.S. Representative,202-225-5076,https://tonko.house.gov,
T000463,Michael R. Turner,Republican,OH,10,house,U.S. Representative,202-225-6465,https://turner.house.gov,
V000081,Nydia M. Velázquez,Democratic,NY,7,house,U.S. Representative,202-225-2361,https://velazquez.house.gov,
W000798,Tim Walberg,Republican,MI,5,house,U.S. Representative,202-225-6276,https://walberg.house.gov,
W000797,Debbie Wasserman Schultz,Democratic,FL,25,house,U.S. Representative,202-225-7931,https://wassermanschultz.house.gov,
W000187,Maxine Waters,Democratic,CA,43,house,U.S. Representative,202-225-2201,https://waters.house.gov,
W000806,Daniel Webster,Republican,FL,11,house,U.S. Representative,202-225-1002,https://webster.house.gov,
W000795,Joe Wilson,Republican,SC,2,house,U.S. Representative,202-225-2452,https://joewilson.house.gov,
W000808,Frederica S. Wilson,Democratic,FL,24,house,U.S. Representative,202-225-4506,https://wilson.house.gov,
W000804,Robert J. Wittman,Republican,VA,1,house,U.S. Representative,202-225-4261,https://wittman.house.gov,
W000809,Steve Womack,Republican,AR,3,house,U.S. Representative,202-225-4301,https://womack.house.gov,
A000369,Mark E. Amodei,Republican,NV,2,house,U.S. Representative,202-225-6155,https://amodei.house.gov,
B001278,Suzanne Bonamici,Democratic,OR,1,house,U.S. Representative,202-225-0855,https://bonamici.house.gov,
D000617,Suzan K. DelBene,Democratic,WA,1,house,U.S. Representative,202-225-6311,https://delbene.house.gov,
M001184,Thomas Massie,Republican,KY,4,house,U.S. Representative,202-225-3465,https://massie.house.gov,
F000454,Bill Foster,Democratic,IL,11,house,U.S. Representative,202-225-3515,https://foster.house.gov,
T000468,Dina Titus,Democratic,NV,1,house,U.S. Representative,202-225-5965,https://titus.house.gov,
V000128,Chris Van Hollen,Democratic,MD,,senate,U.S. Senator,202-224-4654,https://www.vanhollen.senate.gov,
W000800,Peter Welch,Democratic,VT,,senate,U.S. Senator,202-224-4242,https://www.welch.senate.gov,
W000779,Ron Wyden,Democratic,OR,,senate,U.S. Senator,202-224-5244,https://www.wyden.senate.gov,
Y000064,Todd Young,Republican,IN,,senate,U.S. Senator,202-224-5623,https://www.young.senate.gov,
S001194,Brian Schatz,Democratic,HI,,senate,U.S. Senator,202-224-3934,https://www.schatz.senate.gov,
B001287,Ami Bera,Democratic,CA,6,house,U.S. Representative,202-225-5716,https://bera.house.gov,
S001193,Eric Swalwell,Democratic,CA,14,house,U.S. Representative,202-225-5065,https://swalwell.house.gov,
B001285,Julia Brownley,Democratic,CA,26,house,U.S. Representative,202-225-5811,https://juliabrownley.house.gov,
R000599,Raul Ruiz,Democratic,CA,25,house,U.S. Representative,202-225-5330,https://ruiz.house.gov,
T000472,Mark Takano,Democratic,CA,39,house,U.S. Representative,202-225-2305,https://takano.house.gov,
S001198,Dan Sullivan,Republican,AK,,senate,U.S. Senator,202-224-3004,https://www.sullivan.senate.gov,
E000295,Joni Ernst,Republican,IA,,senate,U.S. Senator,202-224-3254,https://www.ernst.senate.gov,
N000189,Dan Newhouse,Republican,WA,4,house,U.S. Representative,202-225-5816,https://newhouse.house.gov,
V000130,Juan Vargas,Democratic,CA,52,house,U.S. Representative,202-225-8045,https://vargas.house.gov,
P000608,Scott H. Peters,Democratic,CA,50,house,U.S. Representative,202-225-0508,https://scottpeters.house.gov,
F000462,Lois Frankel,Democratic,FL,22,house,U.S. Representative,202-225-9890,https://frankel.house.gov,
B001282,Andy Barr,Republican,KY,6,house,U.S. Representative,202-225-4706,https://barr.house.gov,
W000812,Ann Wagner,Republican,MO,2,house,U.S. Representative,202-225-1621,https://wagner.house.gov,
H001067,Richard Hudson,Republican,NC,9,house,U.S. Representative,202-225-3715,https://hudson.house.gov,
M001188,Grace Meng,Democratic,NY,6,house,U.S. Representative,202-225-2601,https://meng.house.gov,
B001281,Joyce Beatty,Democratic,OH,3,house,U.S. Representative,202-225-4324,https://beatty.house.gov,
J000295,David P. Joyce,Republican,OH,14,house,U.S. Representative,202-225-5731,https://joyce.house.gov,
P000605,Scott Perry,Republican,PA,10,house,U.S. Representative,202-225-5836,https://perry.house.gov,
W000814,"Randy K. Weber, Sr.",Republican,TX,14,house,U.S. Representative,202-225-2831,https://weber.house.gov,
C001091,Joaquin Castro,Democratic,TX,20,house,U.S. Representative,202-225-3236,https://castro.house.gov,
W000816,Roger Williams,Republican,TX,25,house,U.S. Representative,202-225-9896,https://williams.house.gov,
V000131,Marc A. Veasey,Democratic,TX,33,house,U.S. Representative,202-225-9897,https://veasey.house.gov,
P000607,Mark Pocan,Democratic,WI,2,house,U.S. Representative,202-225-2906,https://pocan.house.gov,
K000385,Robin L. Kelly,Democratic,IL,2,house,U.S. Representative,202-225-0773,https://robinkelly.house.gov,
D000622,Tammy Duckworth,Democratic,IL,,senate,U.S. Senator,202-224-2854,https://www.duckworth.senate.gov,
W000817,Elizabeth Warren,Democratic,MA,,senate,U.S. Senator,202-224-4543,https://www.warren.senate.gov,
K000383,"Angus S. King, Jr.",Independent,ME,,senate,U.S. Senator,202-224-5344,https://www.king.senate.gov,
D000618,Steve Daines,Republican,MT,,senate,U.S. Senator,202-224-2651,https://www.daines.senate.gov,
C001096,Kevin Cramer,Republican,ND,,senate,U.S. Senator,202-224-2043,https://www.cramer.senate.gov,
F000463,Deb Fischer,Republican,NE,,senate,U.S. Senator,202-224-6551,https://www.fischer.senate.gov,
M001190,Markwayne Mullin,Republican,OK,,senate,U.S. Senator,202-224-4721,https://www.mullin.senate.gov,
C001098,Ted Cruz,Republican,TX,,senate,U.S. Senator,202-224-5922,https://www.cruz.senate.gov,
K000384,Tim Kaine,Democratic,VA,,senate,U.S. Senator,202-224-4024,https://www.kaine.senate.gov,
A000370,Alma S. Adams,Democratic,NC,12,house,U.S. Representative,202-225-1510,https://adams.house.gov,
P000609,Gary J. Palmer,Republican,AL,6,house,U.S. Representative,202-225-4921,https://palmer.house.gov,
H001072,J. French Hill,Republican,AR,2,house,U.S. Representative,202-225-2506,https://hill.house.gov,
W000821,Bruce Westerman,Republican,AR,4,house,U.S. Representative,202-225-3772,https://westerman.house.gov,
D000623,Mark DeSaulnier,Democratic,CA,10,house,U.S. Representative,202-225-2095,https://desaulnier.house.gov,
A000371,Pete Aguilar,Democratic,CA,33,house,U.S. Representative,202-225-3201,https://aguilar.house.gov,
L000582,Ted Lieu,Democratic,CA,36,house,U.S. Representative,202-225-3976,https://lieu.house.gov,
T000474,Norma J. Torres,Democratic,CA,35,house,U.S. Representative,202-225-6161,https://torres.house.gov,
C001103,"Earl L. ""Buddy"" Carter",Republican,GA,1,house,U.S. Representative,202-225-5831,https://buddycarter.house.gov,
L000583,Barry Loudermilk,Republican,GA,11,house,U.S. Representative,202-225-2931,https://loudermilk.house.gov,
A000372,Rick W. Allen,Republican,GA,12,house,U.S. Representative,202-225-2823,https://allen.house.gov,
B001295,Mike Bost,Republican,IL,12,house,U.S. Representative,202-225-5661,https://bost.house.gov,
M001196,Seth Moulton,Democratic,MA,6,house,U.S. Representative,202-225-8020,https://moulton.house.gov,
M001194,John R. Moolenaar,Republican,MI,2,house,U.S. Representative,202-225-3561,https://moolenaar.house.gov,
D000624,Debbie Dingell,Democratic,MI,6,house,U.S. Representative,202-225-4071,https://debbiedingell.house.gov,
R000603,David Rouzer,Republican,NC,7,house,U.S. Representative,202-225-2731,https://rouzer.house.gov,
W000822,Bonnie Watson Coleman,Democratic,NJ,12,house,U.S. Representative,202-225-5801,https://watsoncoleman.house.gov,
S001196,Elise M. Stefanik,Republican,NY,21,house,U.S. Representative,202-225-4611,https://stefanik.house.gov,
B001296,Brendan F. Boyle,Democratic,PA,2,house,U.S. Representative,202-225-6111,https://boyle.house.gov,
B001291,Brian Babin,Republican,TX,36,house,U.S. Representative,202-225-1555,https://babin.house.gov,
W000805,Mark R. Warner,Democratic,VA,,senate,U.S. Senator,202-224-2023,https://www.warner.senate.gov,
B001288,Cory A. Booker,Democratic,NJ,,senate,U.S. Senator,202-224-3224,https://www.booker.senate.gov,
G000574,Ruben Gallego,Democratic,AZ,,senate,U.S. Senator,202-224-4521,https://www.gallego.senate.gov,
S001208,Elissa Slotkin,Democratic,MI,,senate,U.S. Senator,202-224-4822,https://www.slotkin.senate.gov,
P000145,Alex Padilla,Democratic,CA,,senate,U.S. Senator,202-224-3553,https://www.padilla.senate.gov,
F000478,Russell Fry,Republican,SC,7,house,U.S. Representative,202-225-9895,https://fry.house.gov,
J000299,Mike Johnson,Republican,LA,4,house,U.S. Representative,202-225-2777,https://mikejohnson.house.gov,speaker
R000618,Pete Ricketts,Republican,NE,,senate,U.S. Senator,202-224-4224,https://www.ricketts.senate.gov,
P000610,Stacey E. Plaskett,Democratic,VI,0,house,U.S. Representative,202-225-1790,https://plaskett.house.gov,
K000388,Trent Kelly,Republican,MS,1,house,U.S. Representative,202-225-4306,https://trentkelly.house.gov,
L000585,Darin LaHood,Republican,IL,16,house,U.S. Representative,202-225-6201,https://lahood.house.gov,
D000626,Warren Davidson,Republican,OH,8,house,U.S. Representative,202-225-6205,https://davidson.house.gov,
C001108,James Comer,Republican,KY,1,house,U.S. Representative,202-225-3115,https://comer.house.gov,
E000296,Dwight Evans,Democratic,PA,3,house,U.S. Representative,202-225-4001,https://evans.house.gov,
S001190,Bradley Scott Schneider,Democratic,IL,10,house,U.S. Representative,202-225-4835,https://schneider.house.gov,
B001302,Andy Biggs,Republican,AZ,5,house,U.S. Representative,202-225-2635,https://biggs.house.gov,
K000389,Ro Khanna,Democratic,CA,17,house,U.S. Representative,202-225-2631,https://khanna.house.gov,
P000613,Jimmy Panetta,Democratic,CA,19,house,U.S. Representative,202-225-2861,https://panetta.house.gov,
C001112,Salud O. Carbajal,Democratic,CA,24,house,U.S. Representative,202-225-3601,https://carbajal.house.gov,
B001300,Nanette Diaz Barragán,Democratic,CA,44,house,U.S. Representative,202-225-8220,https://barragan.house.gov,
C001110,J. Luis Correa,Democratic,CA,46,house,U.S. Representative,202-225-2965,https://correa.house.gov,
D000628,Neal P. Dunn,Republican,FL,2,house,U.S. Representative,202-225-5235,https://dunn.house.gov,
R000609,John H. Rutherford,Republican,FL,5,house,U.S. Representative,202-225-2501,https://rutherford.house.gov,
S001200,Darren Soto,Democratic,FL,9,house,U.S. Representative,202-225-9889,https://soto.house.gov,
M001199,Brian J. Mast,Republican,FL,21,house,U.S. Representative,202-225-3026,https://mast.house.gov,
K000391,Raja Krishnamoorthi,Democratic,IL,8,house,U.S. Representative,202-225-3711,https://krishnamoorthi.house.gov,
H001077,Clay Higgins,Republican,LA,3,house,U.S. Representative,202-225-2031,https://clayhiggins.house.gov,
R000606,Jamie Raskin,Democratic,MD,8,house,U.S. Representative,202-225-5341,https://raskin.house.gov,
B001301,Jack Bergman,Republican,MI,1,house,U.S. Representative,202-225-4735,https://bergman.house.gov,
B001298,Don Bacon,Republican,NE,2,house,U.S. Representative,202-225-4155,https://bacon.house.gov,
G000583,Josh Gottheimer,Democratic,NJ,5,house,U.S. Representative,202-225-4465,https://gottheimer.house.gov,
K000393,John Kennedy,Republican,LA,,senate,U.S. Senator,202-224-4623,https://www.kennedy.senate.gov/public,
H001076,Margaret Wood Hassan,Democratic,NH,,senate,U.S. Senator,202-224-3324,https://www.hassan.senate.gov,
C001113,Catherine Cortez Masto,Democratic,NV,,senate,U.S. Senator,202-224-3542,https://www.cortezmasto.senate.gov,
B001303,Lisa Blunt Rochester,Democratic,DE,,senate,U.S. Senator,202-224-2441,https://www.bluntrochester.senate.gov,
M001198,Roger Marshall,Republican,KS,,senate,U.S. Senator,202-224-4774,https://www.marshall.senate.gov,
B001305,Ted Budd,Republican,NC,,senate,U.S. Senator,202-224-3154,https://www.budd.senate.gov,
R000608,Jacky Rosen,Democratic,NV,,senate,U.S. Senator,202-224-6244,https://www.rosen.senate.gov,
