bill_id,congress,bill_type,bill_number,title,title_ai,introduced_date,status,sponsor_bioguide,sponsor_name,sponsor_party,sponsor_state,latest_action_date,latest_action_text,cosponsor_count
hr318-119,119,HR,H.R.318,Border Safety and Security Act of 2025,Strengthen border safety and security measures,,active,R000614,Chip Roy,Republican,TX,,,0
s2528-119,119,S,S.2528,Unleashing AI Innovation in Financial Services Act,Boost AI innovation in financial services,2025-07-29,active,R000605,Mike Rounds,Republican,SD,2025-07-29,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",4
hr2899-119,119,HR,H.R.2899,PROTECT Students Act of 2025,Protect students in educational settings,2025-04-10,active,T000472,Mark Takano,Democratic,CA,2025-04-10,"Referred to the Committee on Education and Workforce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",5
s2489-119,119,S,S.2489,Modular Housing Production Act,Increase production of modular homes,,In Committee,W000817,Elizabeth Warren,Democratic,MA,,,0
s967-119,119,S,S.967,Downpayment Toward Equity Act of 2025,Downpayment assistance for building equity,,active,W000790,Raphael G. Warnock,Democratic,GA,,,0
s3881-119,119,S,S.3881,"Tsunami Warning, Research, and Education Act of 2026",Extend tsunami warning and education programs,2026-02-12,active,C000127,Maria Cantwell,Democratic,WA,2026-02-12,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",2
hr4667-119,119,HR,H.R.4667,VISIBLE Act,VISIBLE Act,,active,G000581,Vicente Gonzalez,Democratic,TX,,,0
hr1419-119,119,HR,H.R.1419,Contaminated Wells Relocation Act,Relocate people from contaminated wells,2025-02-18,active,K000399,Jennifer A. Kiggans,Republican,VA,2025-02-18,"Referred to the House Committee on Science, Space, and Technology.",0
hr528-119,119,HR,H.R.528,Post-Disaster Reforestation and Restoration Act of 2025,Restoring forests and lands after disasters,2025-01-16,active,P000620,Brittany Pettersen,Democratic,CO,2025-09-15,"Placed on the Union Calendar, Calendar No. 232.",2
hr2799-119,119,HR,H.R.2799,Closing the Bump Stock Loophole Act of 2025,Close loophole for bump stocks on guns,2025-04-09,active,T000468,Dina Titus,Democratic,NV,2025-04-09,"Referred to the Committee on the Judiciary, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",150
hr1948-119,119,HR,H.R.1948,"To authorize the International Boundary and Water Commission to accept funds for activities relating to wastewater treatment and flood control works, and for other purposes.",Fund wastewater treatment and flood control projects,,active,P000608,Scott H. Peters,Democratic,CA,,,0
s3844-119,119,S,S.3844,Fiscal Harms of Federal Firing Act,Study federal job cuts' impact on states and locals,2026-02-11,active,A000382,Angela D. Alsobrooks,Democratic,MD,2026-02-11,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,3
hr6160-119,119,HR,H.R.6160,Strengthening Medicare for Patients and Providers Act,Improve Medicare for patients and providers,,active,R000599,Raul Ruiz,Democratic,CA,,,0
hr3153-119,119,HR,H.R.3153,Understanding the True Cost of College Act of 2025,Understand the real cost of college,,active,K000397,Young Kim,Republican,CA,,,0
hr4263-119,119,HR,H.R.4263,123 GO Act,,2025-06-30,active,S001224,Keith Self,Republican,TX,2025-06-30,"Referred to the Committee on Foreign Affairs, and in addition to the Committees on Armed Services, Energy and Commerce, Financial Services, and Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",4
hr3830-119,119,HR,H.R.3830,American Patriots of WWII through Service with the Canadian and British Armed Forces Gold Medal Act of 2025,Honor WWII Americans who served with Canada and Britain,,active,V000138,Eugene Simon Vindman,Democratic,VA,,,0
hr5889-119,119,HR,H.R.5889,Eviction Helpline Act,Helpline for people facing evictions,2025-10-31,In Committee,P000617,Ayanna Pressley,Democratic,MA,2025-10-31,Referred to the House Committee on Financial Services.,1
hr2095-119,119,HR,H.R.2095,Postal Police Reform Act of 2025,Reform postal police operations and enforcement,2025-03-14,active,G000597,Andrew R. Garbarino,Republican,NY,2025-03-14,"Referred to the Committee on the Judiciary, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
s3315-119,119,S,S.3315,Health Care Cybersecurity and Resiliency Act of 2025,Strengthen health care cybersecurity and resilience,2025-12-02,active,C001075,Bill Cassidy,Republican,LA,2026-02-26,"Committee on Health, Education, Labor, and Pensions. Ordered to be reported with an amendment in the nature of a substitute favorably.",3
hr2870-119,119,HR,H.R.2870,Working Families Flexibility Act of 2025,Flexible work options for working families,2025-04-10,active,M001211,Mary E. Miller,Republican,IL,2026-02-12,"Placed on the Union Calendar, Calendar No. 422.",0
hr7714-119,119,HR,H.R.7714,"To designate the facility of the United States Postal Service located at 101 North Colorado Street in Chandler, Arizona, as the ""Mayor Coy Payne Memorial Post Office Building"".",Name Chandler post office for Mayor Coy Payne,2026-02-25,active,S001211,Greg Stanton,Democratic,AZ,2026-02-25,Referred to the House Committee on Oversight and Government Reform.,1
hr6042-119,119,HR,H.R.6042,LANDED Act,LANDED Act,,active,S000522,Christopher H. Smith,Republican,NJ,,,0
hr7513-119,119,HR,H.R.7513,GSIB Act of 2026,Regulate banks too big to fail globally,2026-02-11,active,P000617,Ayanna Pressley,Democratic,MA,2026-02-11,Referred to the House Committee on Financial Services.,2
hr5913-119,119,HR,H.R.5913,Community Investment and Prosperity Act,Invest in communities for economic growth,2025-11-04,active,L000599,Michael Lawler,Republican,NY,2025-11-04,Referred to the House Committee on Financial Services.,0
hr4397-119,119,HR,H.R.4397,Muslim Brotherhood Terrorist Designation Act of 2025,Designate Muslim Brotherhood as terrorists,,active,D000600,Mario Diaz-Balart,Republican,FL,,,0
hr7448-119,119,HR,H.R.7448,Modernizing and Improving the National Terrorism Advisory System Act of 2026,Modernize terrorism advisory system for safety,2026-02-09,active,P000621,Nellie Pou,Democratic,NJ,2026-02-09,Referred to the House Committee on Homeland Security.,2
hr6832-119,119,HR,H.R.6832,"To amend the Federal Trade Commission Act to include requirements for recyclable, compostable, and reusable claims for packaging for a consumer product, and for other purposes.",Regulate claims on recyclable packaging labels,2025-12-17,active,W000814,"Randy K. Weber, Sr.",Republican,TX,2025-12-17,Referred to the House Committee on Energy and Commerce.,6
hr6913-119,119,HR,H.R.6913,"To provide for restoration, economic development, recreation, and conservation on Federal lands in Northern California, and for other purposes.",Restore federal lands in Northern California for development and recreation,,In Committee,H001068,Jared Huffman,Democratic,CA,,,0
hr7201-119,119,HR,H.R.7201,Rural Service and Workforce Corps Act,Rural community service and job training program,2026-01-22,active,B001326,Janelle S. Bynum,Democratic,OR,2026-01-22,"Referred to the Committee on Agriculture, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
hr2283-119,119,HR,H.R.2283,Recognizing Community Organizations for Veteran Engagement and Recovery Act,Honor community groups aiding veteran recovery and engagement,2025-03-24,active,B001295,Mike Bost,Republican,IL,2026-01-13,Subcommittee Hearings Held,3
hr7196-119,119,HR,H.R.7196,"To amend the District of Columbia Home Rule Act to prohibit the Council of the District of Columbia from enacting any law to permit euthanasia and assisted suicide in the District of Columbia, and for other purposes.",Ban euthanasia and assisted suicide in DC,,active,B001321,Tom Barrett,Republican,MI,,,0
sres45-119,119,SRES,S.Res.45,A resolution supporting the contributions of Catholic schools in the United States and celebrating the 51st annual National Catholic Schools Week.,Celebrating and supporting US Catholic schools,,active,S001227,Eric Schmitt,Republican,MO,,,0
hres166-119,119,HRES,H.Res.166,"Expressing support for the Iranian people's desires for a democratic, secular, and nonnuclear Republic of Iran, and condemning the Iranian regime's terrorism, regional proxy war, internal suppression, and for other purposes.",Support Iranian democracy and condemn regime abuses,,active,M001177,Tom McClintock,Republican,CA,,,0
hr2417-119,119,HR,H.R.2417,Strengthening Agency Management and Oversight of Software Assets Act,Better management of government software assets,2025-03-27,active,C001078,,,,2025-03-27,Referred to the House Committee on Oversight and Government Reform.,3
hres752-119,119,HRES,H.Res.752,"Expressing support for the designation of September 19, 2025, as ""Black Autism Acceptance and Awareness Day"".",Designate September 19 as Black Autism Awareness Day,2025-09-19,active,L000599,Michael Lawler,Republican,NY,2025-09-19,Referred to the House Committee on Energy and Commerce.,0
hr6022-119,119,HR,H.R.6022,Sgt. Walter F. Hartnett IV Green Star Veterans Service Act,Green Star services for military veterans,,active,B001327,"Robert P. Bresnahan, Jr.",Republican,PA,,,0
hr3169-119,119,HR,H.R.3169,SBIR/STTR Reauthorization Act of 2025,Extend funding for small business innovation research,2025-05-01,active,V000081,Nydia M. Velázquez,Democratic,NY,2025-05-01,"Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
hr7266-119,119,HR,H.R.7266,Rural and Municipal Utility Cybersecurity Act,Enhance cybersecurity for rural and municipal utilities,,active,M001215,Mariannette Miller-Meeks,Republican,IA,,,0
hr2585-119,119,HR,H.R.2585,Armenian Genocide Education Act,Educate about the Armenian Genocide,,active,T000468,Dina Titus,Democratic,NV,,,0
hr3489-119,119,HR,H.R.3489,Department of Veterans Affairs Medical Physicist Pay Cap Relief Act,Remove pay cap for VA medical physicists,2025-05-19,active,C001127,Sheila Cherfilus-McCormick,Democratic,FL,2025-06-06,Referred to the Subcommittee on Health.,6
hres1050-119,119,HRES,H.Res.1050,"Expressing support for the designation of September 19, 2026, as ""Black Autism Acceptance and Awareness Day"".",Support Black Autism Awareness and Acceptance Day,2026-02-10,active,L000599,Michael Lawler,Republican,NY,2026-02-10,Referred to the House Committee on Energy and Commerce.,0
hr1499-119,119,HR,H.R.1499,"To amend the Grand Ronde Reservation Act to address the hunting, fishing, trapping, and animal gathering rights of the Confederated Tribes of the Grand Ronde Community, and for other purposes.",Secure hunting and fishing rights for Grand Ronde Tribe,2025-02-21,active,S001226,Andrea Salinas,Democratic,OR,2025-02-21,Referred to the House Committee on Natural Resources.,4
hr7327-119,119,HR,H.R.7327,Empowering Young Readers Act of 2026,Empower young readers through education,2026-02-03,active,F000477,Valerie P. Foushee,Democratic,NC,2026-02-03,Referred to the House Committee on Education and Workforce.,2
hr831-119,119,HR,H.R.831,Lower Colorado River Multi-Species Conservation Program Amendment Act of 2025,Update conservation for Lower Colorado River species,,active,C000059,Ken Calvert,Republican,CA,,,0
hr4702-119,119,HR,H.R.4702,National Fire Academy Reporting Act,Require reports for national fire academy,,active,M001232,April McClain Delaney,Democratic,MD,,,0
s1442-119,119,S,S.1442,Combating Trafficking in Transportation Act,Fighting human trafficking in transportation,,active,B001243,Marsha Blackburn,Republican,TN,,,0
s1473-119,119,S,S.1473,Stop Stealing our Chips Act,Stop foreign theft of American chips,2025-04-10,active,R000605,Mike Rounds,Republican,SD,2025-04-10,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",1
s486-119,119,S,S.486,Mandatory Removal Proceedings Act,Mandate removal proceedings for immigrants,2025-02-06,active,L000577,Mike Lee,Republican,UT,2025-02-06,Read twice and referred to the Committee on the Judiciary.,4
hr4898-119,119,HR,H.R.4898,Supporting Equity for Aquaculture and Seafood Act,Promote fairness in fish farming and seafood,2025-08-05,active,P000034,"Frank Pallone, Jr.",Democratic,NJ,2025-08-05,Referred to the House Committee on Agriculture.,1
hres493-119,119,HRES,H.Res.493,"Expressing the sense of the House of Representatives that the United States must take urgent, coordinated action to address the national housing crisis through preservation and production of affordable housing.",Urgent action to fix national housing crisis,,active,B001313,Shontel M. Brown,Democratic,OH,,,0
hres389-119,119,HRES,H.Res.389,"Supporting the goals and ideals of National Nurses Week, to be observed from May 6 through May 12, 2025.",Support National Nurses Week in 2025,,active,J000295,David P. Joyce,Republican,OH,,,0
s311-119,119,S,S.311,ACE Act,ACE Act,,active,L000577,Mike Lee,Republican,UT,,,0
s3768-119,119,S,S.3768,ABODE Act,ABODE Act,2026-02-03,active,D000563,Richard J. Durbin,Democratic,IL,2026-02-03,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (text: CR S472)",1
s3092-119,119,S,S.3092,Affordable Housing Expansion Act,Expand affordable housing options,,In Committee,M000934,Jerry Moran,Republican,KS,,,0
hr5569-119,119,HR,H.R.5569,PILOT Act,PILOT Act,,active,C001121,Jason Crow,Democratic,CO,,,0
hr6014-119,119,HR,H.R.6014,Right to Representation for Department of Veterans Affairs Workers Act of 2025,Give VA workers the right to representation,,active,R000617,Delia C. Ramirez,Democratic,IL,,,0
hjres6-119,119,HJRES,H.J.Res.6,Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.,,2025-01-03,active,F000466,Brian K. Fitzpatrick,Republican,PA,2025-01-03,Referred to the House Committee on the Judiciary.,0
s138-119,119,S,S.138,VA Home Loan Awareness Act of 2025,Promote awareness of veterans home loans,,active,S001232,Tim Sheehy,Republican,MT,,,0
hr6853-119,119,HR,H.R.6853,Securing Energy Supply Chains Act,Safeguard energy supply chains,,active,F000246,Pat Fallon,Republican,TX,,,0
hr4273-119,119,HR,H.R.4273,Over-the-Counter Monograph Drug User Fee Amendments,Amend fees for over-the-counter drugs,,active,L000566,Robert E. Latta,Republican,OH,,,0
s903-119,119,S,S.903,PASS Act,PASS Act,2025-03-06,active,R000605,Mike Rounds,Republican,SD,2025-03-06,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",6
hr7498-119,119,HR,H.R.7498,After Hours Child Care Act,After Hours Child Care Act,2026-02-11,active,H001091,Ashley Hinson,Republican,IA,2026-02-11,Referred to the House Committee on Education and Workforce.,7
hr3494-119,119,HR,H.R.3494,VA Hospital Inventory Management System Authorization Act,Track inventory in veterans hospitals,,active,K000399,Jennifer A. Kiggans,Republican,VA,,,0
hr6034-119,119,HR,H.R.6034,VET Extension Act of 2025,Extend programs for military veterans,,active,H001066,Steven Horsford,Democratic,NV,,,0
hr6667-119,119,HR,H.R.6667,PFAS Research and Development Reauthorization Act of 2025,Renew PFAS research and development programs,2025-12-11,active,P000614,Chris Pappas,Democratic,NH,2026-02-02,Referred to the Subcommittee on Water Resources and Environment.,0
s1081-119,119,S,S.1081,Comprehensive NASA Reporting Act of 2025,Require detailed reports from NASA activities,,active,C001098,Ted Cruz,Republican,TX,,,0
hr1661-119,119,HR,H.R.1661,SAFE Act of 2025,Make US farming and food safer,2025-02-27,active,B001260,Vern Buchanan,Republican,FL,2025-03-28,"Referred to the Subcommittee on Livestock, Dairy, and Poultry.",226
s3751-119,119,S,S.3751,Prescription Drug Supply Chain Pricing Transparency Act,Study drug supply chain pricing and payments,2026-01-29,active,B001267,Michael F. Bennet,Democratic,CO,2026-01-29,Read twice and referred to the Committee on Finance.,1
hr3174-119,119,HR,H.R.3174,Made in America Manufacturing Finance Act,Provide funding for American manufacturing sectors,2025-05-01,active,W000816,Roger Williams,Republican,TX,2025-12-04,Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 283.,0
s2690-119,119,S,S.2690,Safer Truckers Act of 2025,Improve safety for truck drivers,2025-09-03,active,M001244,Ashley Moody,Republican,FL,2025-09-03,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",6
hr3564-119,119,HR,H.R.3564,The Nuclear First-Strike Security Act of 2025,Nuclear first strike security measures,2025-05-21,active,P000608,Scott H. Peters,Democratic,CA,2025-05-21,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",21
hr6896-119,119,HR,H.R.6896,Federal Facilities Protection and Oversight Act of 2025,Protect and oversee federal government facilities,2025-12-18,active,S001218,Melanie A. Stansbury,Democratic,NM,2026-02-02,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",0
hr1568-119,119,HR,H.R.1568,African Burial Ground International Memorial Museum and Educational Center Act,Establish African Burial Ground Memorial Museum,,active,G000599,Daniel S. Goldman,Democratic,NY,,,0
hr7079-119,119,HR,H.R.7079,"To facilitate non-motorized border crossings across the Gordie Howe International Bridge, and for other purposes.",Ease walking and biking across Gordie Howe Bridge,,active,T000488,Shri Thanedar,Democratic,MI,,,0
hr3673-119,119,HR,H.R.3673,Small Business Investor Capital Access Act,Help small businesses access investor capital,,active,B001282,Andy Barr,Republican,KY,,,0
hres931-119,119,HRES,H.Res.931,"Expressing support for the designation of December 4, 2025, as ""National Scam Prevention Day"".",Make December 4 National Scam Prevention Day,,active,S001229,Jefferson Shreve,Republican,IN,,,0
hr2853-119,119,HR,H.R.2853,Combating Organized Retail Crime Act of 2025,Fighting organized crime in retail stores,2025-04-10,active,J000295,David P. Joyce,Republican,OH,2026-01-30,"Placed on the Union Calendar, Calendar No. 402.",206
hjres2-119,119,HJRES,H.J.Res.2,Proposing a balanced budget amendment to the Constitution of the United States.,,2025-01-03,active,B001302,Andy Biggs,Republican,AZ,2025-01-03,Referred to the House Committee on the Judiciary.,0
hr4966-119,119,HR,H.R.4966,Stop Price Gouging in Grocery Stores Act of 2025,,2025-08-12,active,T000481,Rashida Tlaib,Democratic,MI,2025-08-12,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",62
hr3712-119,119,HR,H.R.3712,Complete Streets Act of 2025,,2025-06-04,active,C001068,Steve Cohen,Democratic,TN,2025-06-05,Referred to the Subcommittee on Highways and Transit.,10
hr6173-119,119,HR,H.R.6173,Public Transit Crime Prevention Act,Prevent crime on public transit systems,,active,B001309,Tim Burchett,Republican,TN,,,0
hr6618-119,119,HR,H.R.6618,Wildfire Aerial Response Safety Act,Improve safety for wildfire aerial responses,,active,B001326,Janelle S. Bynum,Democratic,OR,,,0
hjres15-119,119,HJRES,H.J.Res.15,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Commercial Water Heating Equipment"".",,2025-01-09,active,M001233,Mark B. Messmer,Republican,IN,2025-01-09,Referred to the House Committee on Energy and Commerce.,0
s2772-119,119,S,S.2772,Commissary Healthy Options and servicemember Welfare (CHOW) Act,Improve healthy food options for military members,,active,W000790,Raphael G. Warnock,Democratic,GA,,,0
s366-119,119,S,S.366,Muhammad Ali Congressional Gold Medal Act,Award gold medal to Muhammad Ali from Congress,,active,P000145,Alex Padilla,Democratic,CA,,,0
hr2879-119,119,HR,H.R.2879,Prison Staffing Reform Act of 2025,,2025-04-10,active,O000019,Jay Obernolte,Republican,CA,2025-04-10,Referred to the House Committee on the Judiciary.,7
s46-119,119,S,S.46,Health Care Affordability Act of 2025,Make health care affordable for everyone,,active,S001181,Jeanne Shaheen,Democratic,NH,,,0
hr1348-119,119,HR,H.R.1348,Venezuelan Adjustment Act,Help Venezuelans adjust their immigration status,,In Committee,S001200,Darren Soto,Democratic,FL,,,0
hjres19-119,119,HJRES,H.J.Res.19,To acknowledge the courage and sacrifice of veterans of the Vietnam war and formally apologize for the treatment they received upon returning home.,,2025-01-15,active,C001120,Dan Crenshaw,Republican,TX,2025-01-15,"Referred to the Committee on Veterans' Affairs, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",12
hr6091-119,119,HR,H.R.6091,Bivens Act of 2025,Allow lawsuits for civil rights violations by officials,2025-11-18,active,J000288,"Henry C. ""Hank"" Johnson, Jr.",Democratic,GA,2025-11-18,Referred to the House Committee on the Judiciary.,27
hr6690-119,119,HR,H.R.6690,Northern Mariana Islands Medicaid Advancement Act,Improve Medicaid in Northern Mariana Islands,,active,K000404,Kimberlyn King-Hinds,Republican,MP,,,0
hr7491-119,119,HR,H.R.7491,Effective Assistance of Counsel in the Digital Era Act,Ensuring effective legal help in digital cases,2026-02-11,active,D000631,Madeleine Dean,Democratic,PA,2026-02-11,Referred to the House Committee on the Judiciary.,3
